Reference,Associated Study Title,Enrollment Years,Study Factors,Stressor Source Category,Exposure Stressor,Stressor Source Details,Number of Stressor Samples,Stressor Notes,Number of Receptors,Receptors,Receptor Notes,Smoking Status,Age,Sex,Race,Methods,LOD/LOQ,Detection Frequency (%),Medium,Exposure Marker,Marker Level,Measurement Statistic,Assay Notes,Country,State or Province,"City, Town, Region or Area",Exposure Event Notes,Outcome Relationship,Disease,Phenotype,Anatomy,Exposure Outcome Notes
31026035,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),2001-2004,,Dietary|Environmental,"2,2',3,3',4,4',5-heptachlorobiphenyl","environment and high-fat foods including dairy, eggs, and animal fats",,,814,Study subjects,,6% Current smoker,80 years (mean),49% Males (Only)|51% Females (Only),,Cox proportional hazard analysis,,,,,,,,Sweden,,Uppsala,,positive correlation,Cardiovascular Diseases,,,significant association between PCB 170 plasma levels and cardiovascular disease mortality
31026035,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),2001-2004,,Dietary|Environmental,"2,3,3',4,4',5-hexachlorobiphenyl","environment and high-fat foods including dairy, eggs, and animal fats",,,814,Study subjects,,6% Current smoker,80 years (mean),49% Males (Only)|51% Females (Only),,Cox proportional hazard analysis,,,,,,,,Sweden,,Uppsala,,prediction/hypothesis,Cardiovascular Diseases,,,significant association between PCB 156 plasma levels and cardiovascular disease mortality
31026035,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),2001-2004,,Dietary|Environmental,"2,3,4,5,3',4',5'-heptachlorobiphenyl","environment and high-fat foods including dairy, eggs, and animal fats",,,814,Study subjects,,6% Current smoker,80 years (mean),49% Males (Only)|51% Females (Only),,Cox proportional hazard analysis,,,,,,,,Sweden,,Uppsala,,positive correlation,Cardiovascular Diseases,,,significant association between PCB 189 plasma levels and cardiovascular disease mortality
23984298,Northway Health Study (NHS),2000-2000,,Environmental,"2,4,5-Trichlorophenoxyacetic Acid",use of Agent Orange-sprayed HFP corridor,,,,Study subjects,,,,,,survey method,,,,,,,,United States,Alaska,Northway,,prediction/hypothesis,Cardiovascular Diseases,,,
20187939,National Health and Nutrition Examination Survey (NHANES),1988-1994,,Commercial product|Environmental,"2,4-Dichlorophenoxyacetic Acid",Herbicides,,,727,Study subjects,,,20-59 years (range),Both Males and Females,35% Black|25% Mexican-American|2% Other|37% White,,,,urine,"2,4-Dichlorophenoxyacetic Acid",,,,United States,,,,prediction/hypothesis,Heart Diseases,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,22.8 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,12.2-38.6 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,33.5 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,90.0,hair,acenaphthene,18.5-54.3 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,88.0,hair,acenaphthylene,10.9 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,170,Subjects with disease:Hypertension,housewives,67% Non-smoker|33% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,88.0,hair,acenaphthylene,4.86-24.4 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,73.0,hair,acenaphthylene,4.47 nanograms per gram,median,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,235,Controls for disease:Hypertension,housewives,61% Non-smoker|39% Passive smoker,>=30 years (range),100% Females (Only),,gas chromatography-mass spectrometry,,73.0,hair,acenaphthylene,1.33-10.2 nanograms per gram,interquartile range,,China,Shanxi Province,,,,,,,
27023119,,2012-2013,,Environmental,acenaphthylene,,,,405,Study subjects,housewives,68% Non-smoker|32% Passive smoker,>=30 years (range),100% Females (Only),,unconditional logistic regression analysis,,,,,,,,China,Shanxi Province,,,positive correlation,Hypertension,,,"concentrations of acenaphthylene above median were associated with increased risk of Hypertension, adjusted odds ratio = 2.76 (95% CI: 1.65-4.63)"
25099132,Louisville Healthy Heart Study,2009-2011,,Environmental,Acrolein,,,,211,Study subjects,,,,53% Males (Only)|47% Females (Only),41% Black|2% Hispanic|57% White,gas chromatography-mass spectrometry | generalized linear models,,,urine,S-(3-hydroxypropyl)cysteine N-acetate,,,,United States,Kentucky,,,positive correlation,Cardiovascular Diseases,,,increased cardiovascular disease risk
12916744,,1995-1996,,Occupational,Agent Orange,chemical exposure in Vietnam,,,"1,224",Veterans,Korean Vietnam veterans,75% Current smoker|25% Non-smoker,45-64 years (range),100% Males (Only),100% Korean,Cochran-Mantel-Haenszel chi-square tests | estimation based on service and survey method | multiple logistic regression,,,,,,,,Vietnam,,,,positive correlation,Hypertension,,,odds ratio (OR) = 2.29 (95% CI: 1.33-3.95)
12916744,,1995-1996,,Occupational,Agent Orange,chemical exposure in Vietnam,,,"1,224",Veterans,Korean Vietnam veterans,75% Current smoker|25% Non-smoker,45-64 years (range),100% Males (Only),100% Korean,Cochran-Mantel-Haenszel chi-square tests | estimation based on service and survey method | multiple logistic regression,,,,,,,,Vietnam,,,,positive correlation,Myocardial Ischemia,,,significantly increased risk of ischemic heart disease (p<0.01)
12916744,,1995-1996,,Occupational,Agent Orange,chemical exposure in Vietnam,,,"1,224",Veterans,Korean Vietnam veterans,75% Current smoker|25% Non-smoker,45-64 years (range),100% Males (Only),100% Korean,Cochran-Mantel-Haenszel chi-square tests | estimation based on service and survey method | multiple logistic regression,,,,,,,,Vietnam,,,,positive correlation,Heart Valve Diseases,,,significantly increased risk of valvular heart disease (p<0.01)
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.58 micrograms per cubic meter,mean,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.24 micrograms per cubic meter,25th percentile,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.44 micrograms per cubic meter,median,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.77 micrograms per cubic meter,75th percentile,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,11.74 micrograms per cubic meter,maximum,"black carbon, whole year hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.51 micrograms per cubic meter,mean,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.22 micrograms per cubic meter,25th percentile,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
27072425,,2007-2012,,Commercial product|Environmental,Air Pollutants,traffic,,,362,Subjects with disease:ST Elevation Myocardial Infarction,,44% Current smoker,62.3 years (mean),68% Males (Only)|32% Females (Only),15% Black|2% Hispanic|10% Other|74% White,aethalometer (for soot) | Cardiac Catheterization Laboratory Database | New York State Department of Environmental Conservation,,,"air, ambient",Soot,0.38 micrograms per cubic meter,median,"black carbon, November-April hourly pollutant concentration",United States,New York,Monroe County,,,,,,
